metric_id,metric_label,series_variant,start_year,end_year,observations,min_segment_length,selected_segments,break_count,break_years,bic,no_break_bic,bic_improvement,transform,method,interpretation_limit
chapo,CHAPO commitments,annual_total,2000,2021,22,4,2,1,2005,-23.994296,-18.796069,5.198228,asinh_scaled,bai_perron_style_dynamic_programming_bic_mean_shift,Descriptive candidate shifts in the longest consecutive annual run; not causal and not a formal event-date test.
chapo,CHAPO commitments,coverage_normalized_mean,2000,2021,22,4,1,0,,-23.321217,-23.321217,0.0,asinh_scaled,bai_perron_style_dynamic_programming_bic_mean_shift,Descriptive candidate shifts in the longest consecutive annual run; not causal and not a formal event-date test.
aidexports,Aid exports,annual_total,2015,2024,10,4,1,0,,-26.846978,-26.846978,0.0,asinh_scaled,bai_perron_style_dynamic_programming_bic_mean_shift,Descriptive candidate shifts in the longest consecutive annual run; not causal and not a formal event-date test.
aidexports,Aid exports,coverage_normalized_mean,2015,2024,10,4,1,0,,-26.846978,-26.846978,0.0,asinh_scaled,bai_perron_style_dynamic_programming_bic_mean_shift,Descriptive candidate shifts in the longest consecutive annual run; not causal and not a formal event-date test.
fdi_stock,FDI stock,annual_total,2003,2024,22,4,4,3,2008|2012|2016,-91.095694,-30.42826,60.667434,asinh_scaled,bai_perron_style_dynamic_programming_bic_mean_shift,Descriptive candidate shifts in the longest consecutive annual run; not causal and not a formal event-date test.
fdi_stock,FDI stock,coverage_normalized_mean,2003,2024,22,4,4,3,2008|2012|2016,-91.095694,-30.42826,60.667434,asinh_scaled,bai_perron_style_dynamic_programming_bic_mean_shift,Descriptive candidate shifts in the longest consecutive annual run; not causal and not a formal event-date test.
fdi_flow,FDI flow,annual_total,2003,2024,22,4,2,1,2008,-52.425365,-35.249051,17.176314,asinh_scaled,bai_perron_style_dynamic_programming_bic_mean_shift,Descriptive candidate shifts in the longest consecutive annual run; not causal and not a formal event-date test.
fdi_flow,FDI flow,coverage_normalized_mean,2003,2024,22,4,2,1,2008,-52.425365,-35.249051,17.176314,asinh_scaled,bai_perron_style_dynamic_programming_bic_mean_shift,Descriptive candidate shifts in the longest consecutive annual run; not causal and not a formal event-date test.
ihme,IHME DAH disbursement,annual_total,2000,2023,24,4,4,3,2004|2008|2013,-91.791351,-48.481098,43.310253,asinh_scaled,bai_perron_style_dynamic_programming_bic_mean_shift,Descriptive candidate shifts in the longest consecutive annual run; not causal and not a formal event-date test.
ihme,IHME DAH disbursement,coverage_normalized_mean,2000,2023,24,4,4,3,2004|2008|2013,-90.857404,-47.987506,42.869899,asinh_scaled,bai_perron_style_dynamic_programming_bic_mean_shift,Descriptive candidate shifts in the longest consecutive annual run; not causal and not a formal event-date test.
china_eu_finance,China development finance,annual_total,2002,2017,16,4,3,2,2006|2014,-27.691925,-18.504258,9.187667,asinh_scaled,bai_perron_style_dynamic_programming_bic_mean_shift,Descriptive candidate shifts in the longest consecutive annual run; not causal and not a formal event-date test.
china_eu_finance,China development finance,coverage_normalized_mean,2002,2017,16,4,3,2,2006|2014,-29.825764,-20.625752,9.200011,asinh_scaled,bai_perron_style_dynamic_programming_bic_mean_shift,Descriptive candidate shifts in the longest consecutive annual run; not causal and not a formal event-date test.
cgp_capacity,CGP capacity,annual_total,2005,2023,19,4,3,2,2015|2019,-3.880304,-0.843012,3.037293,asinh_scaled,bai_perron_style_dynamic_programming_bic_mean_shift,Descriptive candidate shifts in the longest consecutive annual run; not causal and not a formal event-date test.
cgp_capacity,CGP capacity,coverage_normalized_mean,2005,2023,19,4,3,2,2015|2019,-8.154211,-4.502741,3.651471,asinh_scaled,bai_perron_style_dynamic_programming_bic_mean_shift,Descriptive candidate shifts in the longest consecutive annual run; not causal and not a formal event-date test.
