candidate_id,left_record_key,right_record_key,review_decision,review_notes,reviewed_at,application_status
MC-025C7EAD42BEF8,aiddata:43795,cofi:AGO2021004:debt,same_project,"BATCH_REVIEW matching_original_usd_commitment: The AidData title states the same original USD commitment as the finance-catalog record, with compatible project title and financing type.",2026-08-26T07:30:45.138739+00:00,applied
MC-026A595799804D,aiddata:354,cofi:ZMB2021002:debt,same_project,"BATCH_REVIEW matching_original_usd_commitment: The AidData title states the same original USD commitment as the finance-catalog record, with compatible project title and financing type.",2026-08-26T07:30:45.138739+00:00,applied
MC-028107D134AE92,cgef:GH.066,codf:GH.022,different_project,"AUTO_REVIEW conflicting_project_component_identifier: Distinct lot, loan, phase, unit, package, section or stage identifiers indicate separately recorded project components.",2026-08-12T00:00:00+08:00,applied
MC-029FD37D20EBB8,aiddata:93122,chapo:93145,different_project,ASSISTANT_REVIEW conflicting_recipient: Supreme Council of Islamic Affairs differs from police recipient.,2026-08-20T08:30:00+00:00,applied
MC-02A1DC6C7B052E,aiddata:59753,codf:UG.018,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: The financing boilerplate reduces to the same distinctive project name [airport, entebbe] with matching component qualifiers.",2026-08-26T07:30:45.138739+00:00,applied
MC-02B4A25776EB2B,cla:GN.006,codf:GN.006,same_project,BATCH_REVIEW reviewed_same_equivalence_closure: The pair is connected by a reviewed same-project decision and equivalent source identifiers.,2026-08-26T07:30:45.138739+00:00,applied
MC-02E018D9560636,cla:GQ.029,cofi:GNQ2021002:debt,same_project,BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [malabo] and matching sector energy identify the same underlying asset.,2026-08-26T07:30:45.138739+00:00,applied
MC-0346ACB23E44CD,aiddata:73794,cla:AO.009.80,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [hospital, lunda, maternity] and shared asset family health identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-03882E36D70633,aiddata:96800,chapo:96773,different_project,"BATCH_REVIEW conflicting_canonical_event_details: The fuller source descriptions identify different events: explicit currencies/amounts differ ([('zar', 2000000000.0)] vs [('eur', 1000000000.0)]).",2026-08-20T09:31:06.061922+00:00,applied
MC-039753FEA04CE8,cgef:AO.089.45,codf:AO.089.47,different_project,HUMAN_REVIEW imported from browser export; this decision takes precedence over automated rules.,2026-08-19T07:00:45.727Z,applied
MC-039ED41A5ABC04,aiddata:105318,cla:CM.077,same_project,HUMAN_REVIEW imported from browser export; this decision takes precedence over automated rules.,2026-08-19T07:31:51.032Z,applied
MC-04245BB180CFC4,cgp:GN.002.2,cofi:GIN2021003:debt,same_project,BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [souapiti] and matching sector energy identify the same underlying asset.,2026-08-26T07:30:45.138739+00:00,applied
MC-043BCD4910748E,aiddata:94784,chapo:94790,different_project,BATCH_REVIEW conflicting_canonical_event_details: The fuller source descriptions identify different events: months differ (['march'] vs ['april']).,2026-08-20T09:31:06.061922+00:00,applied
MC-043E299617AB1E,aiddata:62256,cla:GQ.007,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [malabo, sewage, treatment] and shared asset family water identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-046934547C7895,aiddata:92289,cgp:ZM.002.5,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [gorge, hydropower, kafue, lower] and shared asset family hydropower identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-048A5824C545B6,codf:KE.011,cofi:KEN2021004:debt,same_project,BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [olkaria] and matching sector energy identify the same underlying asset.,2026-08-26T07:30:45.138739+00:00,applied
MC-04934EF5CD60D4,aiddata:64657,chapo:85288,different_project,BATCH_REVIEW conflicting_component_ordinal: Titles identify different components: batch: ['3'] vs ['2'].,2026-08-19T08:11:59.703611+00:00,applied
MC-05083D31B0BA1C,cgef:ZA.005,cgp:ZA.001.1,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [coal, medupi] and shared asset family thermal_power identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-050AF414451FAE,aiddata:59809,cofi:CIV2021001:debt,same_project,"BATCH_REVIEW matching_original_usd_commitment: The AidData title states the same original USD commitment as the finance-catalog record, with compatible project title and financing type.",2026-08-26T07:30:45.138739+00:00,applied
MC-052B1E2336ACE5,aiddata:30648,cla:ZW.045,same_project,ASSISTANT_REVIEW exact_scope: Rural-district road-equipment acquisition scope coincides.,2026-08-20T08:30:00+00:00,applied
MC-0559A6C256C816,aiddata:92174,codf:ET.090,same_project,BATCH_REVIEW matching_named_project_specs: The named infrastructure project has matching technical specifications (kv: [400.0]) and no phase/lot conflict.,2026-08-26T07:30:45.138739+00:00,applied
MC-05614B4E0873BD,aiddata:40735,codf:MZ.056,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: The financing boilerplate reduces to the same distinctive project name [beira, fishing, port] with matching component qualifiers.",2026-08-26T07:30:45.138739+00:00,applied
MC-0565E136C801A8,aiddata:95330,codf:AO.144,same_project,BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [broadband] and shared asset family communications identify the same underlying asset.,2026-08-26T07:30:45.138739+00:00,applied
MC-0588AABD329884,cgef:ZW.086,codf:ZW.086,same_project,BATCH_REVIEW reviewed_same_equivalence_closure: The pair is connected by a reviewed same-project decision and equivalent source identifiers.,2026-08-26T07:30:45.138739+00:00,applied
MC-05E9B4C4DEE391,cgef:AO.003.50,codf:AO.003.51,different_project,BATCH_REVIEW distinct_related_catalog_identifiers: Related finance catalogs use distinct project identifiers (AO.003.50 vs AO.003.51).,2026-08-19T08:11:59.703611+00:00,applied
MC-0624DA98080C4A,cgef:AO.089.47,codf:AO.089.47,same_project,BATCH_REVIEW reviewed_same_equivalence_closure: The pair is connected by a reviewed same-project decision and equivalent source identifiers.,2026-08-26T07:30:45.138739+00:00,applied
MC-062B8CFE3274AF,cgef:AO.089.44,cla:AO.089.46,different_project,BATCH_REVIEW distinct_related_catalog_identifiers: Related finance catalogs use distinct project identifiers (AO.089.44 vs AO.089.46).,2026-08-19T08:11:59.703611+00:00,applied
MC-062FBF33FB5BC7,cgef:GH.022,cla:GH.066,different_project,"AUTO_REVIEW conflicting_project_component_identifier: Distinct lot, loan, phase, unit, package, section or stage identifiers indicate separately recorded project components.",2026-08-12T00:00:00+08:00,applied
MC-06348F04AB7DEE,aiddata:93445,chapo:93408,different_project,BATCH_REVIEW conflicting_canonical_event_details: The fuller source descriptions identify different events: months differ (['may'] vs ['june']).,2026-08-20T09:31:06.061922+00:00,applied
MC-0677997BDA16EF,cgef:LS.012,codf:LS.012,same_project,BATCH_REVIEW reviewed_same_equivalence_closure: The pair is connected by a reviewed same-project decision and equivalent source identifiers.,2026-08-26T07:30:45.138739+00:00,applied
MC-067D9E691AAE24,cgp:GH.F.001.3,cofi:GHA2021004:equity,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: The financing boilerplate reduces to the same distinctive project name [asogli, kpone] with matching component qualifiers.",2026-08-26T07:30:45.138739+00:00,applied
MC-0705FAF32F793C,cla:AO.089.44,codf:AO.089.46,different_project,BATCH_REVIEW distinct_related_catalog_identifiers: Related finance catalogs use distinct project identifiers (AO.089.44 vs AO.089.46).,2026-08-19T08:11:59.703611+00:00,applied
MC-071D62265B2074,cgp:KE.002,codf:KE.007,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [geothermal, olkaria] and shared asset family renewable_power identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-07454695CF7C7F,cgp:ZA.005.6,codf:ZA.044,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [coal, kusile] and shared asset family thermal_power identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-07F87DA4CC23F2,cgp:ET.006,cla:ET.004,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [amerti, finchaa, hydropower, neshe] and shared asset family hydropower identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-08675AD2921E28,aiddata:85628,cla:NG.063,same_project,"BATCH_REVIEW matching_original_usd_commitment: The AidData title states the same original USD commitment as the finance-catalog record, with compatible project title and financing type.",2026-08-26T07:30:45.138739+00:00,applied
MC-0893D1C44AADA5,codf:ZW.086,cofi:ZWE2021002:debt,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [kariba, south] and an asset family consistent with the counterpart sector identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-089D803A9B5D89,cgef:ZW.064,codf:ZW.064,same_project,BATCH_REVIEW reviewed_same_equivalence_closure: The pair is connected by a reviewed same-project decision and equivalent source identifiers.,2026-08-26T07:30:45.138739+00:00,applied
MC-08B0F9DF3937FA,cla:EG.057,codf:EG.021,different_project,"AUTO_REVIEW conflicting_project_component_identifier: Distinct lot, loan, phase, unit, package, section or stage identifiers indicate separately recorded project components.",2026-08-12T00:00:00+08:00,applied
MC-0919D0C5EDE007,cla:ET.037,codf:ET.037,same_project,BATCH_REVIEW reviewed_same_equivalence_closure: The pair is connected by a reviewed same-project decision and equivalent source identifiers.,2026-08-26T07:30:45.138739+00:00,applied
MC-093C4109E39EDA,aiddata:1290,codf:KE.010,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [hospital, kenyatta, referral, teaching, university] and shared asset family health identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-094B20A0569328,aiddata:43782,cla:AO.056,same_project,"BATCH_REVIEW matching_original_usd_commitment: The AidData title states the same original USD commitment as the finance-catalog record, with compatible project title and financing type.",2026-08-26T07:30:45.138739+00:00,applied
MC-096431B02FF1D3,cgef:ET.017,cofi:ETH2021002:debt,different_project,BATCH_REVIEW reviewed_difference_final_entity_guard: The proposed link would collapse records across an established different-project boundary.,2026-08-26T07:30:45.138739+00:00,applied
MC-09C80287C17460,cgp:GN.002.3,codf:GN.007,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [hydropower, souapiti] and shared asset family hydropower identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-0A4B4E01BDB4D9,aiddata:89492,cla:ZM.150,same_project,HUMAN_REVIEW imported from browser export; this decision takes precedence over automated rules.,2026-08-19T07:33:57.367Z,applied
MC-0A5D9E01687B92,aiddata:30922,cofi:CIV2021002:debt,same_project,"BATCH_REVIEW matching_original_usd_commitment: The AidData title states the same original USD commitment as the finance-catalog record, with compatible project title and financing type.",2026-08-26T07:30:45.138739+00:00,applied
MC-0A7D95F53AC42B,aiddata:92156,codf:ZM.054,different_project,ASSISTANT_REVIEW conflicting_financing_record: USD54m concessional loan differs from the USD228.81m buyer-credit record.,2026-08-20T08:30:00+00:00,applied
MC-0AEBCCF704AE7D,aiddata:105686,cgef:AO.081,same_project,"BATCH_REVIEW matching_original_usd_commitment: The AidData title states the same original USD commitment as the finance-catalog record, with compatible project title and financing type.",2026-08-26T07:30:45.138739+00:00,applied
MC-0AFE6057A08872,cla:ZM.116,codf:ZM.116,same_project,BATCH_REVIEW reviewed_same_equivalence_closure: The pair is connected by a reviewed same-project decision and equivalent source identifiers.,2026-08-26T07:30:45.138739+00:00,applied
MC-0B2661AE37D953,cgp:CG.001.1,cla:CG.009.11,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [hydropower, liouesso] and shared asset family hydropower identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-0B30ABCA4711EE,cgef:GH.015.02,cla:GH.015.02,same_project,BATCH_REVIEW reviewed_same_equivalence_closure: The pair is connected by a reviewed same-project decision and equivalent source identifiers.,2026-08-26T07:30:45.138739+00:00,applied
MC-0B575E72F2837E,cgp:BF.001,cla:BF.008,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [donsin, power, solar] and shared asset family renewable_power identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-0B5DD8833B2EC0,cgef:ET.090,codf:ET.090,same_project,BATCH_REVIEW reviewed_same_equivalence_closure: The pair is connected by a reviewed same-project decision and equivalent source identifiers.,2026-08-26T07:30:45.138739+00:00,applied
MC-0B62335B9A22C5,aiddata:59375,codf:DJ.016,same_project,"BATCH_REVIEW matching_original_usd_commitment: The AidData title states the same original USD commitment as the finance-catalog record, with compatible project title and financing type.",2026-08-26T07:30:45.138739+00:00,applied
MC-0B7D407C18E25A,aiddata:93509,chapo:94367,different_project,BATCH_REVIEW conflicting_canonical_event_details: The fuller source descriptions identify different events: months differ (['august'] vs ['september']).,2026-08-26T07:30:45.138739+00:00,applied
MC-0BE2FD6E286DCA,cgef:AO.005.03,cla:AO.003.48,different_project,"AUTO_REVIEW conflicting_project_component_identifier: Distinct lot, loan, phase, unit, package, section or stage identifiers indicate separately recorded project components.",2026-08-12T00:00:00+08:00,applied
MC-0BEED6A3EE467A,cgef:AO.089.47,cla:AO.089.47,same_project,BATCH_REVIEW reviewed_same_equivalence_closure: The pair is connected by a reviewed same-project decision and equivalent source identifiers.,2026-08-26T07:30:45.138739+00:00,applied
MC-0C093E0CC8E908,aiddata:91691,chapo:91692,different_project,BATCH_REVIEW conflicting_component_ordinal: Titles identify different components: batch: ['2'] vs ['3'].,2026-08-19T08:11:59.703611+00:00,applied
MC-0C44A97D459791,cgp:ZA.005.4,codf:ZA.044,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [coal, kusile] and shared asset family thermal_power identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-0C6BC5F986EB46,cla:AO.089.68,codf:AO.089.64,different_project,HUMAN_REVIEW imported from browser export; this decision takes precedence over automated rules.,2026-08-19T07:21:12.047Z,applied
MC-0C6FD6497FF284,aiddata:34847,cla:AO.003.23,same_project,"BATCH_REVIEW matching_original_usd_commitment: The AidData title states the same original USD commitment as the finance-catalog record, with compatible project title and financing type.",2026-08-26T07:30:45.138739+00:00,applied
MC-0C7FFCC9B83C24,cgp:ZW.001.2,codf:ZW.086,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [hydropower, kariba, south] and shared asset family hydropower identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-0CC69E9F5A03A3,cgp:ZM.002.4,cofi:ZMB2021001:debt,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [gorge, kafue, lower] and matching sector energy identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-0CF11C30D67DDF,cgp:GH.F.001.2,cofi:GHA2021004:equity,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: The financing boilerplate reduces to the same distinctive project name [asogli, kpone] with matching component qualifiers.",2026-08-26T07:30:45.138739+00:00,applied
MC-0D44E5C163614B,aiddata:55627,cla:MU.032,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [city, safe] and shared asset family public_facility identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-0D7632B47C9D4B,aiddata:96777,chapo:96776,different_project,HUMAN_REVIEW imported from browser export; this decision takes precedence over automated rules.,2026-08-20T07:24:03.658Z,applied
MC-0DC59BA6DBEA00,cgef:CG.009.11,cla:CG.009.11,same_project,BATCH_REVIEW reviewed_same_equivalence_closure: The pair is connected by a reviewed same-project decision and equivalent source identifiers.,2026-08-26T07:30:45.138739+00:00,applied
MC-0DD2407CC8D178,aiddata:59375,cla:DJ.024,different_project,BATCH_REVIEW reviewed_difference_final_entity_guard: The proposed link would collapse records across an established different-project boundary.,2026-08-26T07:30:45.138739+00:00,applied
MC-0DE431E8C17455,cgef:GA.004,cofi:GAB2021001:debt,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [grand, poubara] and matching sector energy identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-0DF6BE36478EE3,aiddata:85,cofi:GAB2021001:debt,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [grand, poubara] and matching sector energy identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-0DFD48F8503389,aiddata:73546,cla:AO.089.71,same_project,ASSISTANT_REVIEW exact_named_project: Camucuio water-supply project and locality coincide.,2026-08-20T08:30:00+00:00,applied
MC-0E03E1140CA057,codf:ZA.044,cofi:ZAF2021003:debt,same_project,BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [kusile] and matching sector energy identify the same underlying asset.,2026-08-26T07:30:45.138739+00:00,applied
MC-0E370A07C1EFF0,cgef:KE.007,cgp:KE.002,same_project,BATCH_REVIEW reviewed_same_equivalence_closure: The pair is connected by a reviewed same-project decision and equivalent source identifiers.,2026-08-26T07:30:45.138739+00:00,applied
MC-0E67E42A15359A,aiddata:92289,cgp:ZM.002.4,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [gorge, hydropower, kafue, lower] and shared asset family hydropower identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-0E8D143E234268,aiddata:94784,chapo:94795,different_project,BATCH_REVIEW conflicting_canonical_event_details: The fuller source descriptions identify different events: months differ (['march'] vs ['april']).,2026-08-20T09:31:06.061922+00:00,applied
MC-0E8EBC752D94E2,chapo:34798,cla:AO.003.29,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [benguela, hospital] and shared asset family health identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-0EDB42317DC6CE,cgp:UG.002.5,codf:UG.039,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [falls, hydropower, karuma] and shared asset family hydropower identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-0F05C549263F45,cla:KE.007,cofi:KEN2021003:debt,same_project,BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [olkaria] and an asset family consistent with the counterpart sector identify the same underlying asset.,2026-08-26T07:30:45.138739+00:00,applied
MC-0F6F94DBECD1F8,cgp:SD.002.1,cofi:SDN2021003:debt,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: The financing boilerplate reduces to the same distinctive project name [mahmoud, sharif] with matching component qualifiers.",2026-08-26T07:30:45.138739+00:00,applied
MC-0F9A6704E44BE4,codf:GA.045,cofi:GAB2021001:debt,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [grand, poubara] and matching sector energy identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-0FA246398992A9,aiddata:91973,cla:GQ.036,different_project,"BATCH_REVIEW separate_after_full_evidence_check: No shared source identifier, compatible named-asset anchor, matching original commitment, technical specification, or explicit cross-source link supports consolidation; the records remain separate.",2026-08-26T07:30:45.138739+00:00,applied
MC-1057B2CEAC0EC2,aiddata:95366,chapo:92767,different_project,BATCH_REVIEW conflicting_canonical_event_details: The fuller source descriptions identify different events: months differ (['march'] vs ['april']).,2026-08-20T09:31:06.061922+00:00,applied
MC-10620F3BD80657,aiddata:256,codf:NE.003,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: The financing boilerplate reduces to the same distinctive project name [azelik, mine, uranium] with matching component qualifiers.",2026-08-26T07:30:45.138739+00:00,applied
MC-1067E582B8EB26,cgef:GQ.029,cla:GQ.029,same_project,BATCH_REVIEW reviewed_same_equivalence_closure: The pair is connected by a reviewed same-project decision and equivalent source identifiers.,2026-08-26T07:30:45.138739+00:00,applied
MC-10BA55984446E9,cgp:NG.F.006.1,cofi:NGA2021005:debt,different_project,BATCH_REVIEW conflicting_financing_instruments: Fund types conflict (equity vs loan).,2026-08-26T07:30:45.138739+00:00,applied
MC-10DE7DA80A77BE,aiddata:354,codf:ZM.012,same_project,"BATCH_REVIEW matching_original_usd_commitment: The AidData title states the same original USD commitment as the finance-catalog record, with compatible project title and financing type.",2026-08-26T07:30:45.138739+00:00,applied
MC-10E103C62A22CA,cla:GN.007,cofi:GIN2021003:debt,same_project,BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [souapiti] and matching sector energy identify the same underlying asset.,2026-08-26T07:30:45.138739+00:00,applied
MC-10F2138B204E9D,cla:ET.035,codf:ET.037,different_project,BATCH_REVIEW distinct_related_catalog_identifiers: Related finance catalogs use distinct project identifiers (ET.035 vs ET.037).,2026-08-26T07:30:45.138739+00:00,applied
MC-11347F392D57A2,aiddata:47014,codf:KE.091,same_project,HUMAN_REVIEW imported from browser export; this decision takes precedence over automated rules.,2026-08-19T07:36:58.152Z,applied
MC-117F1B0FAFC6AE,cla:TG.020,codf:TG.008,different_project,HUMAN_REVIEW imported from browser export; this decision takes precedence over automated rules.,2026-08-19T07:15:33.814Z,applied
MC-12544E08A9D577,cgp:ZA.005.2,codf:ZA.044,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [coal, kusile] and shared asset family thermal_power identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-125ACA84657699,aiddata:62256,cofi:GNQ2021002:debt,different_project,"BATCH_REVIEW separate_after_full_evidence_check: No shared source identifier, compatible named-asset anchor, matching original commitment, technical specification, or explicit cross-source link supports consolidation; the records remain separate.",2026-08-26T07:30:45.138739+00:00,applied
MC-128DE3B4C0C5DB,aiddata:19632,chapo:1727,different_project,HUMAN_REVIEW imported from browser export; this decision takes precedence over automated rules.,2026-08-21T02:16:08.684Z,applied
MC-12954F565330CA,aiddata:92134,chapo:92129,different_project,"BATCH_REVIEW separate_after_full_evidence_check: No shared source identifier, compatible named-asset anchor, matching original commitment, technical specification, or explicit cross-source link supports consolidation; the records remain separate.",2026-08-26T07:30:45.138739+00:00,applied
MC-129A3920B712F3,cla:AO.089.10,codf:AO.089.11,different_project,BATCH_REVIEW distinct_related_catalog_identifiers: Related finance catalogs use distinct project identifiers (AO.089.10 vs AO.089.11).,2026-08-26T07:30:45.138739+00:00,applied
MC-12A7F308EC6D6C,cgef:ET.007,cofi:ETH2021009:debt,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [dawa, genale] and matching sector energy identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-12AAB8D90CA962,codf:CD.012,cofi:COD2021002:debt,same_project,BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [zongo] and matching sector energy identify the same underlying asset.,2026-08-26T07:30:45.138739+00:00,applied
MC-12EA2DA1E70D56,cgp:ZA.003.3,cofi:ZAF2023012:debt,same_project,BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [ingula] and matching sector energy identify the same underlying asset.,2026-08-26T07:30:45.138739+00:00,applied
MC-13281B5514D74A,cla:AO.089.59,codf:AO.089.64,different_project,BATCH_REVIEW distinct_related_catalog_identifiers: Related finance catalogs use distinct project identifiers (AO.089.59 vs AO.089.64).,2026-08-26T07:30:45.138739+00:00,applied
MC-13631B9C3BDFC8,aiddata:53100,cofi:MLI2021001:debt,same_project,BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [gouina] and an asset family consistent with the counterpart sector identify the same underlying asset.,2026-08-26T07:30:45.138739+00:00,applied
MC-136F92284AC2D2,aiddata:47128,cgef:SD.004,same_project,"BATCH_REVIEW matching_original_usd_commitment: The AidData title states the same original USD commitment as the finance-catalog record, with compatible project title and financing type.",2026-08-26T07:30:45.138739+00:00,applied
MC-1377D46C367201,aiddata:19700,chapo:59716,different_project,HUMAN_REVIEW imported from browser export; this decision takes precedence over automated rules.,2026-08-19T07:21:04.776Z,applied
MC-13A2BDA23A94A3,aiddata:30947,cgp:MA.001,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [coal, jerada] and shared asset family thermal_power identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-13BDE360C7A71E,aiddata:34836,cla:AO.003.29,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [benguela, hospital] and shared asset family health identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-13D8FCCF7BEA2E,aiddata:96796,chapo:96774,different_project,"BATCH_REVIEW conflicting_canonical_event_details: The fuller source descriptions identify different events: explicit currencies/amounts differ ([('eur', 1150000000.0)] vs [('eur', 37000000.0), ('eur', 1000000000.0)]).",2026-08-20T09:31:06.061922+00:00,applied
MC-13F177768EB6F3,cla:CG.009.18,codf:CG.009.13,different_project,BATCH_REVIEW distinct_related_catalog_identifiers: Related finance catalogs use distinct project identifiers (CG.009.18 vs CG.009.13).,2026-08-26T07:30:45.138739+00:00,applied
